Medicine 1,Medicine 2
COSMIN-A CAPS 20MG 30,Fixicef DS (200mg/5ml) 30ml Suspension
COSMOCAL-D TABS 30,Osmin-D3 120ml Suspension
COSMOTICS GLUTONE CREAM 30G,Dove Men (Talc Fresh) 150ml Body Spray
COSMOTICS HYDRATOR LIQUID 200ML,Medline Sparkle 70g Toothpaste
COSMOX CAPS 500MG 12,"Novidat DS (400mg) 100ml, 1 Vial Injection"
COSOME LOZENGES LOZS H/L 40,Norlim (2mg) 20 Tablets
COSOME LOZENGES LOZS H/L 40 SF,Cefazol (0.5g) 1 Vial Injection
COSOME LOZENGES LOZS ORANGE 40,D-Sun Stat (200000IU) 1 Capsule
COSOME SYRUP 120ML,Fluconazole (150mg) 1 Capsule
COSOME-E SYRUP 120ML,Amodip-Plus (5/12.5mg) 20 Tablets
COSOPT DROPS EYE 5ML,De-Mal ZP Bar 75g Soap
COSTA CAPS 375MG 30,Ezmin (250mg) 10 Tablets
COSTA SYRUP 2% 120ML,Dr. Koff Lemon & Honey 60 Lozenges Jar
COSTA SYRUP 5% 120ML,Distalgesic (37.5/325mg) 100 Tablets
COSTA-PRO SYRUP 120ML,Pulse (100mg) 20 Tablets
COSVATE CREAM 0.05% 5G,Actifed-P (80/1.25/30) 90ml Elixir
CO-TASMI TABS 40MG/12M 14,Lazer (250ml/5ml) 60ml Suspension
CO-TASMI TABS 80MG/12M 14,Dulan (20mg) 14 Capsules
COTECXIN SUSP 160MG 80ML,Zenwoman 30 Tablets
COTECXIN TABS F.C. 60MG 10,Axe Excite (Intense Attraction) 250ml Body Wash
CO-TELISARTAN TABS F.C. 12.5MG/40M 14,Vpride (2mg) 20 Tablets
CO-TELMAS TABS F.C. 12.5MG/40M 14,Molped Maxi Thick (Long) 11 Sanitary Pads
CO-TELMAS TABS F.C. 12.5MG/80M 14,Calivon (Calcium & Vitamin D3) 30 Tablets
CO-TELSAN TABS 40MG/12. 14,Divol (250mg) 120ml Syrup
CO-TELSAN TABS 80MG/12. 14,Acort (0.1/1%) 10g Cream
CO-TEN TABS F.C. 10,Sontel (10mg) 30 Tablets
CO-TRAVOST DROPS EYE 2.5ML,Hanzol (40mg) 14 Capsules
COTRER JEL. 10G,Qalsium-D (Mixed) Suger Free 40 Tablets
COTRI SYRUP 240MG 450ML,Moov (Rapid Relief) 150ml Spray
COTRI SYRUP 240MG 50ML,Bynevol (2.5mg) 14 Tablets
COTRI SYRUP 240MG 60ML,Sastid (Anti-bacterial/anti-fungal/anti-septic) 65g Soap
COTRI TABS 480MG 200,Zetafenac-K (50mg) 20 Tablets
COTRI TABS 480MG 200,Xylepam (0.5mg) 30 Tablets
COTRI TABS 480MG 200,Lansowel (30mg) 14 Capsules
COTRI TABS 480MG 200,Picno Plus 20 Tablets
COTRI TABS DS 960MG 100,Cal-D (600mg/400IU) 20 Tablets
COTRIMOXAZOLE SYRUP 50ML,Delite (Jasmine) Air Freshener
COTRIMOXAZOLE SYRUP 50ML,Augmentin DS (312.50mg/5ml) 90ml Suspension
CO-TRITACE TABS 2.5MG/12M 28,Vitkal Mam 10 Tablets
CO-TRITACE TABS 5MG/25M 28,Acnetrac (20mg) 30 Capsules
CO-TRUPRIL TABS 12.5MG/20 28,Folium 400 (400mcg) 30 Tablets
COUGAR TABS 10MG 10,Alopra (20mg) 14 Tablets
COUGAR TABS 10MG 20,Celeron (50mg) 20 Softgel Capsules
COUGAR TABS 10MG 30,Gabapil (300mg) 14 Capsules
COUGAR TABS 20MG 10,WizenFlash (4mg) 10 Tablets
COUGAR TABS 20MG 30,Seapride (50mg) 10 Tablets
COUGAR TABS 5MG 10,Contine (10mg) 56 Tablets
COUGAR TABS 5MG 30,Oflocin (0.6%) 5ml Ear Drops
COUGH CARE SYRUP COUGH 60ML,CARMINA PLUS (100S)
COVA TABS 160MG 14,Bloxib (200mg) 20 Capsules
COVA TABS 80MG 14,Femence (50mg) 30 Capsules
COVA-H TABS 160MG/12. 14,Efecip (500mg) 10 Tablets
COVA-H TABS 80MG/12. 14,Vrochi (40mg) 14 Capsules
CO-VALID TABS 160MG/12. 14,Bold Oil Control 50ml Face Wash
CO-VALID TABS 160MG/25M 14,Levotrim (250mg) 10 Tablets
CO-VALID TABS 80MG/12. 28,Piofit (30mg) 20 Tablets
CO-VALSTAR TABS 160MG/25M 14,Itraderm (100mg) 4 Capsules
CO-VALTEC TABS 160MG/12. 14,Cipracin (500mg) 10 Tablets
CO-VALTEC TABS 160MG/12. 28,Barresten (500mg) 1 Tablet
CO-VALTEC TABS 160MG/25M 14,CaC-1000 Plus (Cola) 10 Tablets
CO-VALTEC TABS 160MG/25M 28,Kride (50mg) 10 Capsules
CO-VALTEC TABS 80MG/12. 28,Getofin (250mg) IV Injection
COVAM PLUS TABS F.C. 160MG/12M 28 /10M,Aclova (250mg) 5 Vial Injections For IV Infusion
COVAM PLUS TABS F.C. 160MG/12M 28 /5M,Celarix (5mg) 10 Tablets
COVAM PLUS TABS F.C. 160MG/25M 28 /10M,Histanil-D (5mg) 10 Tablets
COVAM PLUS TABS F.C. 160MG/25M 28 /5M,Tansin (50mg) 10 Tablets
COVAM PLUS TABS F.C. 320MG/25M 28 /10M,Dany Fine Netting Face Mask
COVAM TABS F.C. 160MG/10M 14,Rumadol (500/30/2mg) 100 Tablets
COVAM TABS F.C. 160MG/5MG 14,AdvaXaban (5mg) 30 Tablets
COVAM TABS F.C. 80MG/5MG 14,Mufixime (400mg) 5 Capsules
COVANCE TABS F.C. 160MG/10M 14,Vita Fertility Men 10 Tablets
COVANCE TABS F.C. 160MG/5M 14,MegaKlar (500mg) 10 Tablets
COVANCE TABS F.C. 80MG/5M 14,Otoflox (0.3%) 5ml Ear Drops
COVERSAM TABS 4MG/10M 10,Nipro (24 G) 100 Needles
COVERSAM TABS 4MG/5MG 10,Evox (500mg/100ml) 1 IV Infusion
COVERSAM TABS 8MG/10M 10,Thiolax (4mg) 20 Capsules
COVERSAM TABS 8MG/5MG 10,Head & Shoulders (2in1 Classic Clean) 190ml Shampoo
COVERSYL PLUS TABS 10,Hide & Seek (RS 50) Biscuit
COVERSYL TABS 2MG 10,Cotrimoxazole (400/160mg) 100 Tablets
COVERSYL TABS 4MG 10,Kurkure (Cheese Karara) 57g Snack
COVERSYL TABS 8MG 10,Kakron Coconut Chocolate
COVIT TABS 30,Avega SR (3mg) 10 Tablets
CO-VMED TABS F.C. 160MG/10M 14 /12M,Melano 25g Cream
CO-VMED TABS F.C. 160MG/5M 14 /12M,Helixa (20mg) 14 Tablets
COW&GATE 1 POWD MILK 1 400G,Itollium (50mg) 10 Tablets
COW&GATE 1 PRO NUT POWD MILK 1 200G,Wizy DS (200mg/5ml) 30ml Suspension
COW&GATE 1 PRO NUT POWD MILK 1 400G,Neo-Klar (250mg) 10 Tablets
COW&GATE 2 POWD MILK 2 200G,Sumoxen (85/500mg) 2 Tablets
COW&GATE 2 POWD MILK 2 400G,Prolene (1) 90mm Suture
COW&GATE 2 PRO NUT POWD MILK 2 200G,Doplet-3 (5mg/ml) 1 Ampoule Injection
COW&GATE 2 PRO NUT POWD MILK 2 400G,Rocephin (1g) IV Injection
COW&GATE 3 POWD MILK 3 400G,Lexapram (20mg) 10 Tablets
COW&GATE 3 PRO NUT POWD MILK 3 400G,EasyCare Wrist Support (M) Wrist Braces
COW&GATE 4 PRO NUT POWD MILK 4 400G,Corvin (250mg/5ml) 60ml Suspension
COW&GATE ALMIRON P POWD MILK 200G,Care 190ml Whitening Lotion
COW&GATE ALMIRON P POWD MILK 400G,Trimzak (120mg) 10 Capsules
COX-2 TABS 100MG 20,Colgate Herbal Stronger Healthier Teeth Naturally 50g Toothpaste
COX-2 TABS 100MG 30,Cedrox (1g) 10 Tablets
C-OXACIN INFUSION IV 100MG 50ML,Esmart 75 (75mg/200mcg) 20 Tablets
C-OXACIN INFUSION IV 200MG 100ML,Revlon ColorSilk (48-Burgundy) Hair Colour
C-OXACIN SUSP DRY 125MG 30ML,Cefto (200mg/5ml) 30ml Suspension
C-OXACIN SUSP DRY 125MG 60ML,Saltra (25/125mg) 200 Metered Doses Inhaler
C-OXACIN SUSP DRY 250MG 30ML,Vecpram (10mg) 14 Tablets
C-OXACIN SUSP DRY 250MG 60ML,Doris (5mg/ml) 1 Ampoule Injection
C-OXACIN TABS F.C. 250MG 10,Wesom (40mg) 14 Capsules
C-OXACIN TABS F.C. 500MG 10,Norlim (3mg) 20 Tablets
COXICAM TABS 15MG 10,Seleco (200mg) 20 Tablets
COXICAM TABS 7.5MG 10,Save (10mg) 10 Tablets
COXICAP CAPS 100MG 20,Movial 120ml Suspension
COXICAP CAPS 200MG 10,Oftab (200mg) 10 Tablets
COXLAN TABS 15MG 10,Prolexa (20mg) 14 Tablets
COXLAN TABS 7.5MG 20,English (Complete Cavity Protection) 140g Toothpaste
COXOBID TABS 100MG 20,Faast +20 (20/1100mg) 14 Capsules
COXYZIN TABS F.C. 10MG 10,Motidil (10mg) 50 Tablets
COZAAR TABS F.C. 100MG 28,Pingab (75mg) 14 Capsules
COZAAR TABS F.C. 50MG 28,Silken Gentle 500g Soap
CO-ZEAL TABS 20,Trapeze Plus (50/500mg) 10 Tablets
CO-ZISCAR TABS 10MG/12. 14,Tobrasone (0.1/0.3%) 5ml Eye Drops
CO-ZISCAR TABS 20MG/12. 28,Sunsilk (Smooth & Manage) 160ml Shampoo
CO-ZISCAR TABS 20MG/25M 14,Davitran (50mg) 20 Tablets
COZOL SUSP 450ML,FalciNil DS (40/240mg) 12 Tablets
COZOLE CAPS 150MG,Mylide (250mg) 10 Tablets
COZYME-10 CAPS SOFT 100MG 20,Merit DS Anti-Dandruff and Hair Rejuvenator 120ml Shampoo
COZYME-10 CAPS SOFT 50MG 20,Dobalta (30mg) 14 Capsules
CP ZAF INFUSION IV .200% 50ML,Xtor (20mg) 10 Tablets
CP ZAF INFUSION IV 0.2% 100ML,ED-3 (5mg/1ml) 1 Ampoule Injection
CP ZAF TABS F.C. 250MG 10,A-Vative (25mg) 30 Capsules
CP ZAF TABS F.C. 500MG 10,Methotrexat Ebewe (2.5mg) 50 Tablets
C-PLUS-D TABS CHEW OR 30,Derma Care 90g Mostourising Bar
CQ-10 CAPS SOFT 100MG 30,"Sterol-D Stat (200,000IU) 1 Capsule"
CQ-10 CAPS SOFT 50MG 30,Shield Evenflo (Pack of 2) Regular Nipple
CRAFILM SUSP 1G 120ML,Veskor (10mg) 30 Tablets
CRAFILM SUSP 1G 60ML,Nexcef (100mg/5ml) 30ml Suspension
CRAFILM TABS CHWE 32,Butterfly Breathable (XL) 16 Pads
CRAFLOX TABS 250MG 10,Azrowin (250mg) 10 Capsules
CRAFLOX TABS 500MG 10,Ponds Men (Power Clear) 100g Face Wash
CRALINT-D SACHETS 8G 10,Ispaghol Husk 5g Sachet
CRAMOL SACHETS 10,Durdgone (40mg) 20 Tablets
CRAN MAC SACHETS 250MG 10,BoneCare 300ml Liquid Syrup
CRAN SURE SACHETS 10,Losec (40mg) Vial Infusions
CRANBAC SACHETS GRAN 144MG 10,Preus (12.5mg/5ml) 120ml Cough Syrup
CRANBERRY DAVIS SACHETS 250MG 10,Famulcer (20mg) 20 Tablets
CRANBIOTIC SACHETS 10,I-Prin (200mg) 500 Tablets
CRANBO SACHETS 8G 10,Biodroxil (250mg/5ml) 60ml Suspension
CRANCARE SACHETS 36MG 8G 10,Tacrus (0.1%) 30g Skin Ointment
CRAN-D SACHETS 10,Daplozmet (5/850mg) 14 Tablets
CRANEZE CAPS 500MG 20,Etizem (30mg) 30 Tablets
CRANEZE SACHETS 250MG 10,Neoprox (500mg) 20 Tablets
CRANFIT SACHETS 250MG 8G 10,Levo (250mg) 10 Tablets
CRANMANO SACHETS 5.6G 10,Amodip-V Plus (5/160/12.5mg) 28 Tablets
CRAN-MAX AQUA SYRUP 120ML,Vefixim (400mg) 5 Capsules
CRAN-MAX PRO SACHETS 8G 10,Xibmed (60mg) 10 Tablets
CRAN-MAX PRO SACHETS 8G 12,Garnier Skin Active (Pure Active 3 in1) 50ml Face Wash
CRAN-MAX SACHETS 250MG 10,Yellow Star 12 Tablets
CRAN-MAX SACHETS 250MG 8G 12,Rogxime DS (200mg/5ml) 30ml Suspension
CRANOFIT SACHETS 10,Laxwell 120ml Syrup
CRANOSE SACHETS 5.6G 10,Pigeon 120ml Baby Feeder
CRANPURE SACHETS 8G 10,Caresse 500ml Hand Wash
CRANPURE TABS EFF. 10,Balamin (500mcg) 20 Tablets
CRANTOP SACHETS 250MG 10,Zofran (8mg) 10 Tablets
CRAN-V JEL. 60ML,Pakmall (L) Back Support Belt
CRANWOOD SACHETS 8G 10,Ellettra (100mg) 20 Tablets
CRANZAK CAPS 20,Anac (50mg) 20 Tablets
CRANZO SACHETS 10,BYE BYE FEVER PATCH
CRAVIT TABS 250MG 10,Saifenac SR (100mg) 20 Tablets
CRAVIT TABS 500MG 10,Optidine (0.2%) 5ml Eye Drops
CRAVIT VIAL INFUSIO 500MG 100ML,Gesunden Multi 30 Tablets
CREATO SR TABS F.C. SR 35MG 20,Maxolon (10mg/2ml) 10 Ampoule Injections
CREMAFFIN EMUL 120ML,Bisleri 250ml Mineral Water
CREMAZOLE H CREAM 10G,Proscar (5mg) 15 Tablets
CREMAZOLE LOTION 30ML,Torga (2666IU) 10ml Oral Drops
CREMAZOLE LOTION 60ML,Fonaz (50mg/5ml) 35ml Suspension
CRESAR AM TABS F.C. 40MG/10M 20,Cuta Soft 90ml Moisturising Lotion
CRESAR AM TABS F.C. 40MG/5M 14,Zeesol-NS (0.9%) 1000ml I.V Infusion
CRESAR AM TABS F.C. 80MG/10M 14,Citanew (10mg) 14 Tablets
CRESAR AM TABS F.C. 80MG/5M 20,NewDay (5/80mg) 14 Tablets
CRESAR TABS F.C. 20MG 10,Cellgee 30 Tablets
CRESAR TABS F.C. 40MG 10,Silage (50mg) 20 Tablets
CRESAR TABS F.C. 80MG 10,Lisodim (50mg) 20 Tablets
CRESAR-H TABS F.C. 12.5MG/40M 14,Napreben (275mg) 32 Capsules
CRESAR-H TABS F.C. 12.5MG/80M 14,Inoquin (500mg) 10 Tablets
CRESAR-H TABS F.C. 25MG/80M 14,Mionex (5mg) 5ml Eye Drops
CRESCOR TABS F.C. 10MG 10,Baclin (20mg) 30 Tablets
CRESCOR TABS F.C. 20MG 10,Moisturex 75g Bar
CRESCOR TABS F.C. 5MG 10,Adoxa (100mg) 30 Tablets
CRESEMBA CAPS 100MG 14,Langnese Black Forest 250g Honey Jar
CRESEMBA VIAL INF.DRY 200MG 250ML,Kojic Acid (Whitening) 40g Face Wash
CRESS SYRUP 120ML,Oppo Rigid Adjustable Neck Collar
CRESS SYRUP 60ML,Pampers 6 (Extra Large) 24 Pants
CRESS TABS 100MG 10,MOLTYFOAM 2 BACKCARE CUSHION
CRESS TABS 100MG 30,Bona Papa L (Maxi) 80 Baby Diapers
CRESTAT EZ TABS F.C. 10MG/10M 10,Meroget (1g) 1 Vial Injection
CRESTAT EZ TABS F.C. 10MG/5M 10,Omsana (40mg) 14 Tablets
CRESTAT EZ TABS F.C. 20MG/10M 10,Fullo 57g Chocolate
CRESTAT TABS F.C. 10MG 10,Atvast (10mg) 10 Tablets
CRESTAT TABS F.C. 20MG 10,Alka-Seltzer 36 Tablets
CRESTAT TABS F.C. 5MG 10,Fortum (250mg) 1 Vial Injection
CREXT SACHETS 10,Symbidow (200/6mcg) 30 Capsules
CRISVIN VIAL DRY 1MG 1ML,Lux (Fresh Splash) 145g Soap
CRISVIN VIAL DRY 2MG 2ML,Benzone (2g) 1 Vial Injection
CROCON TABS 150MG,Qco (100mg) 30 Capsules
CROCUS TABS F.C. 250MG 10,Omnitor (5mg) 20 Tablets
CROHIST TABS 320MG 7,Bisoprolol (10mg) 14 Tablets
CROLIMUS OINT 0.03% 10G,D-Sure (60000IU) 4 Capsules
CROLIMUS OINT 0.1% 10G,Hitalo (10mg) 14 Tablets
CROLIMUS OINT 0.1% 30G,Uzaril (250mg) 10 Tablets
CROMIL DROPS EYE 4% 10ML,Bona Papa (Small) 90 Baby Diaper
CROMOG DROPS EYE 2% 5ML,Secure (100mg/5ml) 60ml Suspension
CROMOG-T DROPS EYE 15ML,Safety hCG One Step Pregnancy (Urine) Test Strip
CROTAN CREAM 1% 20G,Angiwell-XR (1000mg) 14 Tablets
CRSCI CAPS 10MG 14,Bactocan (50mg/5ml) 35ml Suspension
C-SPAN CAPS 400MG 5,Cosmotone-U 210ml Syrup
C-SPAN SUSP 100MG 30ML,Heflin (50mg) 14 Capsules
C-SPAN SUSP 100MG 60ML,Ivaset (5mg) 14 Tablets
C-SPAN SUSP DS 200MG 30ML,Adine (180mg) 10 Tablets
C-SPOR DROPS EYE 0.05% 10ML,Sanatogen Vital 50+ Multivitamin 90 Tablets
CS-SUM VIAL DRY 1G 1G,"Humalog Mix-50 (KwikPen) 100IU/3ml, 5 Pre-Filled Pens"
CS-SUM VIAL DRY 2G 2G,White Balance 20g Cream
C-SYSLUB DROPS EYE 15ML,Denim (Perfume) 125g Soap
C-TAR SHAMPOO 120ML,Pacific's Jack & Jill 120ml Syrup
C-TROX VIAL DRY 1G,Esozef (40mg) 14 Capsules
C-TROX VIAL DRY 500MG,"Tracrium (25mg) 2.5ml, 5 Ampoule Injections"
CTV TABS F.C. 10MG 10,Septilin 200ml Syrup
CTV TABS F.C. 10MG 100,Jiax (500mg) 1 Injection
C-TX TABS 450MG 60,Es-Loprot (40mg) 14 Capsules
CTZ VIAL DRY 1G,Crescor (5mg) 10 Tablets
CTZINE SYRUP 1MG 60ML,Zoycin (2.25g) 1 Vial Injection
CTZINE TABS F.C. 10MG 10,Nezocin (200mg/100ml) 1 Infusion
CUBAC TABS F.C. 250MG 10,D-Tres (200000IU) 1 Injection
CUBAC TABS F.C. 500MG 10,Osnate-800 30 Tablets
CUBIL TABS F.C. 100MG 14,Caricard (100mg) 10 Tablets
CUBIL TABS F.C. 200MG 14,Tagipmet XR (50/1000mg) 14 Tablets
CUBIL TABS F.C. 50MG 14,Hydralazine HCl (25mg) 20 Tablets
CUBRIVA SOLUT. ORAL 50MG 60ML,Celd Advancee 30 Tablets
CUBRIVA TABS F.C. 100MG 14,Lamitor (50mg) 30 Tablets
CUBRIVA TABS F.C. 25MG 14,Dettol Original 150ml Hand Wash
CUBRIVA TABS F.C. 50MG 14,Jardy (10mg) 14 Tablets
CUBRIVA TABS F.C. 75MG 14,Dynaquin (250mg) 10 Tablets
CUBRIVA VIAL IV 10MG 1ML,Fa Men (Sport Recharge) 200ml Body Spray
CUF D SYRUP 120ML,Reliance (150mg) 20 Tablets
CUF-G SYRUP 120ML,Catafen (50mg) 20 Tablets
CUFKLEAR SYRUP COUGH 120ML,Montec (10mg) 14 Film Coated Tablets
CUNEX-D CAPS SOFT 2KU,Lotto (75mg) 20 Tablets
CURA SHAMPOO 200ML,Citolin (500mg) 10 Tablets
CURA SHAMPOO 90ML,Carlov (12.5mg) 10 Tablets
CURABID TABS F.C. 250MG 10,Kast (10mg) 10 Tablets
CURABID TABS F.C. 500MG 10,Econid (3mg) 20 Tablets
CURAFLOXIN TABS F.C. 250MG 10,Clamentin DS (312.50mg/5ml) 60ml Suspension
CURAFLOXIN TABS F.C. 500MG 10,Nurzol (20mg) 14 Capsules
CURALL-A DROPS EYE 10ML,Vocinti (20mg) 14 Tablets
CURANEP DROPS EYE 0.1% 5ML,Vedicar (3.125mg) 10 Tablets
CURANEP DROPS EYE 0.1%/FORT 3ML,Rapicort (15mg/5ml) 120ml Oral Solution
CURE-C TABS F.C. 400MG 28,Simpill (10mg) 10 Tablets
CUREDOL EXTRA TABS 500MG/65M 200,Exval-A (10/160mg) 14 Tablets
CUREZOLE CREAM 10G,Mecobalamin (500ug) 10 Capsules
CUREZOLE CREAM 15G,Triban (200mg/5ml) 30ml Suspension
CURIL SHAMPOO 100ML,ObsiCal 10 Sachet
CURIL SHAMPOO 200ML,Clotles (75mg) 10 Tablets
CURINE DROPS EYE 15ML,Safgo (3mg) 20 Tablets
CURIT DROPS 10ML,Linofenac-P (75mg) 20 Tablets
CURITOL INFUSION 200MG 100ML,Erythrocin (500mg) 100 Tablets
CURITOL TABS 200MG 10,Pond`s (Pimple Clear) 50g Face Wash
CURITOL TABS 400MG 10,Avsar Plus (10/160/25mg) 28 Tablets
CURO TABS 2MG 30,Terbin (1%) 10g Cream
CURODERM CREAM 2% 15G,Timosol (0.5%) 5ml Eye Drops
CURODERM CREAM 5G,Cefrinex (500mg) 12 Capsules
CURODERM-H CREAM 15G,Avsar (10/160mg) 14 Tablets
CUROSURF VIAL 120MG 1.5ML,Bd Ultra-Fine (4mmx32g) Pen Needle
CUROSURF VIAL 120MG 1.5ML,Bonmin 30 Tablets
CUSTODIOL INFUSION 0.5L,Aerotec (50/0.2mg) 20 Tablets
CUTAPAM TABS 20MG 10,Keflex (250mg) 12 Capsules
CUTA-WET LOTION 120ML,Xib (100mg/5ml) 60ml Suspension
CUTIBET-G CREAM 15G,Bioxsine Dermagen 40 Tablets
CUTIBET-G OINT 15G,Qusel XR (150mg) 10 Tablets
CUTIS CREAM 1% 10G,Exigentin (10mg) 10 Tablets
CUTIS JEL. 1% 10G,Head & Shoulders (Smooth & Silky) 185ml Shampoo
CUTIS LOTION 1% 20ML,Esglit (10mg) 14 Tablets
CUTIS SPRAY 1% 30ML,Co-Apraise (150/12.5mg) 14 Tablets
CUTIS TABS 125MG 10,Alzine 200 Tablets
CUTIS TABS 125MG 20,Pantene Pro-V (Milky Extra) 650ml Shampoo
CUTIS TABS 250MG 10,Fekom (180mg) 10 Tablets
CUTIS TABS 250MG 20,Mezocam (7.5mg) 10 Tablets
CUTIVATE CREAM 0.050% 10G,"Nucal-Z (Calcium, Magnesium & Zinc) 30 Tablets"
CUTIVATE M CREAM 5G,Tux Pocket 24 Tissues
CUTIVATE M OINT 10G,Vasclear (10mg) 10 Tablets
CUTIVATE M OINT 5G,Levitra (20mg) 4 Tablets
CUTIVATE OINT 0.050% 10G,Clonil (50mg) 100 Tablets
CUZIPER TABS F.C. 10MG 20,Cefast (500mg) 1 Injection
CUZIPER TABS F.C. 2.5MG 14,Maxophine (200mg) 10 Capsules
CUZIPER TABS F.C. 5MG 20,Calzem (60mg) 20 Tablets
CV TABS C.E. 150MG 30,Tensopress (10cm x 3m) Bandage
C-VIT TABS CHWE 500MG 30,Gpride-M SR (2/500mg) 30 Tablets
C-YALTA CAPS ENTER 20MG 10,Daxar (20mg) 10 Capsules
C-YALTA CAPS ENTER 30MG 10,Tobracin (0.3%) 5ml Eye Drops
C-YALTA CAPS ENTER 60MG 10,Avate (0.1%) 10g Ointment
CYANAMIN AMP. 2ML 25,Lactena 1 (Infant Milk Formula ) 200g Powdered Milk
CYANAMIN VIAL 1MG 30ML,Flumetol S (0.1%) 10ml Eye Drops
CYANOCOBALAMIN AMP. 1MG 1ML 100,Monticell (4mg) 14 Sachets
CYANOCOBALAMIN AMP. 1MG 1ML 25,Loprot (40mg) 1 Vial Injection/Infusion
CYANOCOBALAMIN AMP. 1MG 2.00ML 25,Patadin Forte (0.2%) 5ml Eye Drops
CYANOCOBALAMIN AMP. 1ML 100,Qutyl XR (200mg) 10 Tablets
CYANOCOBALAMIN AMP. 1ML 100,Valisone-S 60ml Lotion
CYANOCOBALAMIN VIAL 1000Y 30ML,Veprox (500mg) 10 Tablets
CYANOCOBALAMIN VIAL 1MG 10ML,Hydroderm Protexion Antibacterial 75g Soap
CYANOCOBALAMIN VIAL 1MG 10ML,Cefomerc (1g) 1 Vail Injection
CYANOCOBALAMIN VIAL IM 10ML,Cortec Plus (10/25mg) 20 Tablets
CYANOCOBALAMIN VIAL IM 1MG 10ML,Hapibar (60mg) 14 Capsules
CYANOCOBALAMIN VIAL IM 1MG 30ML,Aventriax (250mg) 1 Injection
CYANOCOBALAMINE AMP IM 1000Y 2ML 25,Tiffany (Digestive ) 250g Biscuit
CYANOCOBALAMINE AMP. 2ML 25,ClindaMax (1%) 30ml Lotion
CYANOCOBALAMINE VIAL 2ML 25,X-Plended (20mg) 10 Tablets
CYANOCOBALAMINE VIAL IM 1000Y 10ML,MUSAFFEEN TAB
CYANOCOBALAMINE VIAL IM 1000Y 30ML,Silo (50mg) 14 Tablets
CYANOPLEX SYRUP 60ML,Mucosoft (10mg) 14 Tablets
CYANORIN AMP./FORT 3ML 25,Dairy Milk Bubbly (RS 85) 24 Chocolates
CYCIN TABS 250MG 10,OPSITE 10*14
CYCIN TABS 500MG 10,Clingard 10g Gel
CYCIN VIAL INFUSIO 100MG 50ML,Tyladol (120mg) 60ml Suspension
CYCIN VIAL INFUSIO 200MG 100ML,Panadol CF (500/50mg) 100 Capsules
CYCLIDINE TABS 5MG 100,Vaseline Blue Seal 225g Petroleum Jelly
CYCLO DROPS EYE 0.05% 10ML,Brodsef (100mg/5ml) 30ml Oral Suspension
CYCLODEX TABS 20MG 10,Dementio ER (12mg) 30 Tablets
CYCLODEX TABS 20MG 20,Aptizyme (Appetizer) () 120ml Syrup
CYCLODOR TABS 20MG 20,Corbis (10mg) 20 Tablets
CYCLOFEN JEL. 1% 20G,Valtec AM (10/160mg) 28 Tablets
CYCLOFEN TABS C.E. 50MG 20,Fusicare (2%) 15g Cream
CYCLOFEN TABS C.E.SR 100MG 30,Welomep (20mg) 14 Capsules
CYCLOFENAC AMP IM 75MG 3ML 5,Mirtazep (30mg) 20 Tablets
CYCLOGEST PESSARIES 200MG 15,SUPER CRISP NIMKO MIX 50
CYCLOGEST PESSARIES 400MG 15,Hitaxime (500mg) 1 Vial Injection
CYCLOGYL DROPS EYE 1% 15ML,Hiace 10 (10mg) 28 Tablets
CYCLOMIDE VIAL DRY 1G 50ML,Megapime (500mg) 1 Injection
CYCLOMIDE VIAL DRY 500MG 25ML,Betacare (0.5mg) 100 Tablets
CYCLOPEN DROPS EYE 1% 10ML,Pampers Premium Care 1 ( New Baby) 22 Baby Diapers
CYCLOPLATIN VIAL DRY 200MG 25ML 5,Levokan (500mg) 10 Tablets
CYCLORAM TABS 20MG 20,Betaval (1%) 60ml Lotion
CYCLOSEN CAPS 250MG 30,Clacin (500mg) 10 Tablets
CYCLOTRIN TABS 20MG 20,Menidazole (200mg) 60ml Suspension
CYCLOZ CREAM 5% 10G,Cardiotec (5mg) 20 Tablets
CYCLOZ TABS 400MG 25,Silfab (VP-M5) Mesh Nebulizer
CYCLOZ TABS 800MG 25,Brace (10mg) 10 Tablets
CYESTRA TABS F.C. 21,Linjardy (5/10mg) 14 Tablets
CYFLOX TABS F.C. 250MG 10,Fluimucil A-200 30 Granules Sachets
CYINE JEL. 10MG 10G,"Genticyn (40mg) 2ml, 1 Ampoule Injection"
CYLOR DROPS EYE 0.05% 10ML,Cefidox (100mg) 10 Tablets
CYMBALTA CAPS ENTER 30MG 14,Prolox (250mg) 10 Tablets
CYMBALTA CAPS ENTER 60MG 14,Rodexib (100mg/5ml) 60ml Suspension
CYNFO CAPS 500MG 10,L'oreal Paris Dream Long 360ml Shampoo
CYNFO SUSP DRY 250MG 60ML,Ossomax (70mg) 10 Tablets
CYNODOX C LYSIN SYRUP 120ML,Colgate Sensitive Pro-Relief 70g Toothpaste
CYNODOX C TABS/FORT 30,Bonviva (3mg/3ml) 1 Pre-Filled Syringe
CYNODOX-SF SYRUP 120ML,Esolor (20mg) 14 Capsules
CYNOFOL DROPS 10ML,Amoxidox (250mg/5ml) 90ml Suspension
CYOX VIAL DRY 500MG,Benprol (20mg) 14 Capsules
CYPREX TABS F.C. 250MG 10,Lotetob (0.5/0.3%) 5ml Eye Drops
CYPREX TABS F.C. 500MG 10,Velvet 55ml Hand Sanitizer
CYPRODIN TABS 4MG 500,Coldrex 100 Tablets
